Date,HomeTeam,AwayTeam,HC,AC
27/09/2025,Al Dhaid,Dibba Al Fujairah,6,3
27/09/2025,Hatta Dubai,Al Jazira Al Hamra,7,2
27/09/2025,Majd FC,Al Hamriyah,3,4
27/09/2025,Gulf FC,Gulf United FC,3,3
27/09/2025,Al Arabi Umm Al Quwain,Al Fujairah,4,6
27/09/2025,Emirates Club RAK,Al Dhafra SCC,2,7
27/09/2025,Al Dhafra SCC,Dubai United,2,6
27/09/2025,Al Arabi Umm Al Quwain,Gulf United FC,3,3
27/09/2025,Al Arabi Umm Al Quwain,Gulf United FC,3,3
27/09/2025,Dibba Al Fujairah,Hatta Dubai,10,6
04/10/2025,Al Hamriyah,Gulf FC,4,2
04/10/2025,Al Fujairah,Masfout CSC,5,1
04/10/2025,Al Arabi Umm Al Quwain,Al Hamriyah,3,4
04/10/2025,Masfout CSC,Gulf United FC,6,1
04/10/2025,Hatta Dubai,Al Dhaid,2,5
04/10/2025,Emirates Club RAK,Al Fujairah,0,2
04/10/2025,Majd FC,Dibba Al Fujairah,3,9
04/10/2025,Gulf FC,Al Jazira Al Hamra,7,3
04/10/2025,Dibba Al Fujairah,Gulf FC,10,1
04/10/2025,Gulf United FC,Emirates Club RAK,5,2
04/10/2025,Al Fujairah,Dubai United,7,8
06/10/2025,Al Hamriyah,Masfout CSC,1,3
11/10/2025,Al Jazira Al Hamra,Al Arabi Umm Al Quwain,5,5
11/10/2025,Al Dhaid,Majd FC,5,1
11/10/2025,Emirates Club RAK,Al Hamriyah,5,9
11/10/2025,Hatta Dubai,Majd FC,8,8
11/10/2025,Al Arabi Umm Al Quwain,Dibba Al Fujairah,2,5
11/10/2025,Dubai United,Gulf United FC,8,6
11/10/2025,Al Dhafra SCC,Al Fujairah,6,5
11/10/2025,Masfout CSC,Al Jazira Al Hamra,1,5
11/10/2025,Al Dhaid,Gulf FC,7,3
11/10/2025,Gulf United FC,Al Dhafra SCC,4,3
11/10/2025,Al Dhaid,Al Arabi Umm Al Quwain,7,1
18/10/2025,Dibba Al Fujairah,Masfout CSC,5,3
18/10/2025,Al Jazira Al Hamra,Emirates Club RAK,2,8
18/10/2025,Al Hamriyah,Dubai United,2,4
18/10/2025,Masfout CSC,Al Dhaid,1,9
18/10/2025,Al Arabi Umm Al Quwain,Hatta Dubai,3,7
18/10/2025,Emirates Club RAK,Dibba Al Fujairah,8,4
18/10/2025,Majd FC,Gulf Heroes FC,5,1
18/10/2025,Al Dhafra SCC,Al Hamriyah,4,2
18/10/2025,Dubai United,Al Jazira Al Hamra,1,5
18/10/2025,Majd FC,Al Arabi Umm Al Quwain,5,4
18/10/2025,Hatta Dubai,Masfout CSC,6,3
18/10/2025,Al Dhaid,Emirates Club RAK,3,7
21/10/2025,Al Jazira Al Hamra,Al Dhafra SCC,2,6
25/10/2025,Dibba Al Fujairah,Dubai United,7,4
25/10/2025,Gulf United FC,Al Fujairah,5,2
25/10/2025,Masfout CSC,Majd FC,10,3
25/10/2025,Emirates Club RAK,Hatta Dubai,6,0
25/10/2025,Al Arabi Umm Al Quwain,Gulf Heroes FC,8,5
25/10/2025,Al Dhafra SCC,Dibba Al Fujairah,3,3
25/10/2025,Dubai United,Al Dhaid,3,5
25/10/2025,Al Fujairah,Al Hamriyah,8,3
25/10/2025,Al Hamriyah,Gulf United FC,3,5
25/10/2025,Gulf Heroes FC,Masfout CSC,2,2
25/10/2025,Al Dhaid,Al Dhafra SCC,3,2
25/10/2025,Majd FC,Emirates Club RAK,3,3
28/10/2025,Hatta Dubai,Dubai United,9,6
08/11/2025,Al Jazira Al Hamra,Al Fujairah,4,5
08/11/2025,Al Dhafra SCC,Hatta Dubai,4,2
08/11/2025,Dubai United,Majd FC,8,7
08/11/2025,Masfout CSC,Al Arabi Umm Al Quwain,3,4
08/11/2025,Al Fujairah,Dibba Al Fujairah,3,3
08/11/2025,Emirates Club RAK,Gulf Heroes FC,5,2
08/11/2025,Gulf United FC,Al Jazira Al Hamra,5,5
08/11/2025,Al Dhaid,Al Fujairah,5,3
08/11/2025,Dibba Al Fujairah,Gulf United FC,10,4
08/11/2025,Al Arabi Umm Al Quwain,Emirates Club RAK,2,4
08/11/2025,Majd FC,Al Dhafra SCC,1,6
10/11/2025,Al Jazira Al Hamra,Al Hamriyah,5,7
15/11/2025,Gulf Heroes FC,Dubai United,6,10
15/11/2025,Al Hamriyah,Dibba Al Fujairah,9,2
15/11/2025,Al Fujairah,Hatta Dubai,3,4
15/11/2025,Emirates Club RAK,Masfout CSC,6,2
15/11/2025,Gulf United FC,Al Dhaid,1,3
15/11/2025,Al Dhafra SCC,Gulf Heroes FC,3,4
15/11/2025,Dubai United,Al Arabi Umm Al Quwain,7,2
15/11/2025,Al Fujairah,Majd FC,3,2
15/11/2025,Al Hamriyah,Al Dhaid,5,6
15/11/2025,Al Jazira Al Hamra,Dibba Al Fujairah,5,6
15/11/2025,Al Dhafra SCC,Al Arabi Umm Al Quwain,2,3
15/11/2025,Gulf United FC,Hatta Dubai,3,4
22/11/2025,Dubai United,Masfout CSC,9,1
22/11/2025,Hatta Dubai,Al Hamriyah,7,4
22/11/2025,Al Dhaid,Al Jazira Al Hamra,8,6
22/11/2025,Emirates Club RAK,Dubai United,4,11
22/11/2025,Majd FC,Gulf United FC,1,9
22/11/2025,Gulf Heroes FC,Al Fujairah,6,8
22/11/2025,Masfout CSC,Al Dhafra SCC,3,6
22/11/2025,Al Hamriyah,Majd FC,12,5
22/11/2025,Dibba Al Fujairah,Al Dhaid,3,1
22/11/2025,Gulf United FC,Gulf Heroes FC,8,3
22/11/2025,Al Dhafra SCC,Emirates Club RAK,7,3
22/11/2025,Al Fujairah,Al Arabi Umm Al Quwain,4,4
27/11/2025,Al Jazira Al Hamra,Hatta Dubai,4,1
29/11/2025,Dubai United,Al Dhafra SCC,3,4
29/11/2025,Masfut,Al Fujairah,6,3
29/11/2025,Al Arabi Umm Al Quwain,Gulf United FC,6,4
29/11/2025,Majd FC,Al Jazira Al Hamra,7,4
29/11/2025,Gulf FC,Al Hamriyah,4,5
29/11/2025,Hatta Dubai,Dibba Al Fujairah,6,6
29/11/2025,Gulf United FC,Masfout CSC,1,3
29/11/2025,Al Dhaid,Hatta Dubai,9,7
29/11/2025,Dibba Al Fujairah,Al Dahra FC,9,5
29/11/2025,Al Hamriyah,Al Arabi Umm Al Quwain,6,7
29/11/2025,Al Jazira Al Hamra,Gulf Heroes FC,7,3
06/12/2025,Al Fujairah,Emirates Club RAK,2,6
09/12/2025,Dibba Al Fujairah,Al Fujairah,5,2
09/12/2025,Hatta Dubai,Al Dhafra SCC,5,7
09/12/2025,Majd FC,Al Dhaid,3,4
09/12/2025,Masfout CSC,Al Hamriyah,6,1
09/12/2025,Dubai United,Al Fujairah,7,7
09/12/2025,Al Arabi Umm Al Quwain,Al Jazira Al Hamra,7,4
09/12/2025,Gulf Heroes FC,Dibba Al Fujairah,1,8
09/12/2025,Emirates Club RAK,Gulf United FC,5,2
09/12/2025,Al Jazira Al Hamra,Masfout CSC,4,3
10/12/2025,Hatta Dubai,Majd FC,5,1
10/12/2025,Al Fujairah,Al Dhafra SCC,2,5
13/12/2025,Al Dhaid,Gulf FC,4,2
13/12/2025,Gulf United FC,Dubai United,3,5
13/12/2025,Al Hamriyah,Emirates Club RAK,7,0
13/12/2025,Dibba Al Fujairah,Al Arabi Umm Al Quwain,11,1
13/12/2025,Al Arabi Umm Al Quwain,Al Dhaid,5,1
13/12/2025,Dubai United,Al Hamriyah,4,6
13/12/2025,Emirates Club RAK,Al Jazira Al Hamra,5,3
13/12/2025,Masfout CSC,Dibba Al Fujairah,1,7
13/12/2025,Al Dhafra SCC,Gulf United FC,10,7
13/12/2025,Gulf Heroes FC,Hatta Dubai,2,5
13/12/2025,Dibba Al Fujairah,Emirates Club RAK,6,5
13/12/2025,Al Jazira Al Hamra,Dubai United,3,11
19/12/2025,Majd FC,Gulf Heroes FC,3,3
19/12/2025,Al Hamriyah,Al Dhafra SCC,5,5
19/12/2025,Hatta Dubai,Al Arabi Umm Al Quwain,16,2
20/12/2025,Al Dhaid,Masfout CSC,3,4
20/12/2025,Al Dhafra SCC,Al Jazira Al Hamra,8,1
20/12/2025,Masfout CSC,Hatta Dubai,3,5
20/12/2025,Al Fujairah,Gulf United FC,9,3
20/12/2025,Al Arabi Umm Al Quwain,Majd FC,4,5
20/12/2025,Dubai United,Dibba Al Fujairah,7,5
20/12/2025,Emirates Club RAK,Al Dhaid,4,4
20/12/2025,Al Hamriyah,Al Fujairah,4,3
20/12/2025,Gulf Heroes FC,Al Arabi Umm Al Quwain,1,4
26/12/2025,Hatta Dubai,Emirates Club RAK,8,6
26/12/2025,Dibba Al Fujairah,Al Dhafra SCC,1,6
26/12/2025,Al Dahra FC,Masfout CSC,2,6
26/12/2025,Al Dhaid,Dubai United,6,3
26/12/2025,Gulf United FC,Al Hamriyah,1,7
26/12/2025,Al Fujairah,Al Jazira Al Hamra,1,3
26/12/2025,Al Dhafra SCC,Al Dhaid,4,10
26/12/2025,Dubai United,Hatta Dubai,2,6
26/12/2025,Masfout CSC,Gulf Heroes FC,5,4
26/12/2025,Al Arabi Umm Al Quwain,Masfout CSC,4,2
26/12/2025,Al Jazira Al Hamra,Gulf United FC,4,3
26/12/2025,Gulf Heroes FC,Emirates Club RAK,1,4
29/12/2025,Al Dhaid,Fleetwood United,3,3
29/12/2025,Al Hamriyah,Al Jazira Al Hamra,5,5
29/12/2025,Dubai United,Gulf Heroes FC,3,0
29/12/2025,Emirates Club RAK,Al Arabi Umm Al Quwain,8,2
29/12/2025,Gulf United FC,Dibba Al Fujairah,3,9
29/12/2025,Al Fujairah,Al Dhaid,1,5
29/12/2025,Al Arabi Umm Al Quwain,Dubai United,3,3
29/12/2025,Masfout CSC,Emirates Club RAK,2,4
29/12/2025,Hatta Dubai,Al Fujairah,9,1
